text,reason,label
and i can not communicate with friends,want to connect with friends,1
it is really hard to get into meetings on laptop because it is having you go back in fourth to google and the app.,want to connect to meetings on laptop,1
the updated app is not installing on my phone after the update.,want to update app on phone,1
zoom is comparatively good in terms of ui and features.,unable to play video after the update,0
please put the controls at the bottom of the screen.,want to put controls at bottom of screen,1
why live that music is not translated well on zoom?,want to be able to select episodes,0
this is a good app for live match and movies.,good for watching live matches and movies,1
it worked at the beginning but now it will not let me watch my show,unable to watch shows,1
i want to watch a movie,want to watch movies,1
"would be eevn better if zoom could silenec the computer notification sounds, same incoming emails.",want to download the app and takes up more memory space,0
immense for the interactions,good for interactions,1
the desktop version is lousy!,desktop version is bad,1
how do i get to a conference if i can not log in?,want to login with phone,1
it does not support 3g network,good for school and work,0
"it is soundl,y but I am taking lessons well, but 1 can not log in and sign up for membership.",want to get card,0
i wrote a review and it was deleted.,want to know why the review was deleted,1
the sound is constantly glictching!,sound is constantly glitching,1
band does anyone know why when i share screen it tells me that i can not share video while I am on call?,want to share video while on call,1
it is a good app for korean lessons,good for korean lessons,1
i use other rain buckets applications too but only hotstar is showing this trouble,weblink does not work on ipad browser,0
please provide angstrom unit feature to be capable to install a background on iphone 6,want to select background during meetings,0
it stay stuck on the hulu and then it goes blank.,want to register and want ukrainian language support,0
it is not allowing to coppy paste nor is it allowing to enter alphabets.,want to enter alphabets,1
only problem. wish we could isolate each speaker in the break out room.,want to isolate speaker in break out room,1
apple phones have some options (like the background option) that android does not have.,apple phone has background option,1
i want to watch free movies,want to watch free movies,1
fix password error and invalid id,want to fix password error and invalid id issues,1
expect the releasers to add settings hit wallpapers on ipad,want to add settings hit wallpapers on ipad,1
how do i switch to paid content?,want to switch to paid content,1
it seems that this app is not working for ios systems on ipads.,good for spiritual needs,0
add pip picture-in-picture support for iphones,want picture in picture mode for iphone,1
wish i could customize my background,want to customize background,1
it is fun to watch movies and spend time with your family,good to watch movies with family,1
good for meetings and bible study,good for spiritual meetings,1
"poorly made, bad quality, i hate school",want to put money and filter,0
"i wish i kne w how to keep comments off my screen so i can read charts, etc.",want to keep comments off screen,1
not a smooth sign up either.,sign up experience is bad,1
it is impossible to synchronize.,facing issues after downloading percentage reaches 100,0
"excellent app, but its licenses are very expensive!",license fees are expensive,1
"i try to agree to say that disney + is unavailable in a certain region, and i was picking it up now",upgrade does not work,0
it would be interesting to be able to open simultaneous rooms by cell phone.,getting logged out automatically,0
login is not recommended for 1 star,login is not recommended for 1 star,1
"in this situation, it is not possible to pay for a subscription in russia!",good for small business,0
i can not open my zoom,good for multiple events,0
"very godo, contains emoji filters and backgrounds",want to disable chat popups,0
"it quickly falls into idle, the greek language is absent.",greek language is absent,1
the app is very good but a bit expensive.,app is expensive,1
dropping the rtaing dwon vitamin A scrap more.,want to connect to wifi,0
add shoot picture-in-picture support for iphones,want to find recordings,0
the app is poorly coded.,app is poorly made,1
i can never participate in our church's conference bible study or morning,want to change two factor authentication settings and authenticator app,0
i can not play video while having zoom meeting fix this today is this what you call security enhancement,want to play video while zooming,1
when i click on the effects section i can not go back.,want to go back after clicking on effects section,1
mic does not turn off after call is done.,mic does not turn off after call is done,1
i have a problem with subtitles when streaming on chromecast.,unable to use subtitles on chromecast,1
very creative app for organisations,good for organising,1
- android does not have the power to create and open session rooms - along android (even with a large tablet screen) there is no way to open the participants window in parallel.,want to receive virtual call,0
i do not know how to meet google if you can.,unable to meet google,1
missing information is unfriendly,missing information is bad,1
"lately, audio will not play through my headphones connected via",music is not translated on zoom,0
it would be awesome if you implemented native picture in picture mode for video calls so we can minimize the app while keeping a call on the screen,want native picture mode for video calls,1
"i have online classes and since a few days, this app is not working properly.",want to hear sounds from behind,0
substitles are too small when using chromecast.,app hangs up automatically,0
i can not subscribe from the app.,good for business promotions,0
very good app to keep interacting at school and work,good for school and work,1
this is an amazing app for online classes!but,good app for conducting online classes,1
and audio was breaking,app is good for kids,0
but the volume came a little low.,unable to hear audio on ios,0
please add hindi subtitles,app subscription is not worthy,0
birthdate information will not load.,want blurred background feature,0
information technology is impossible to write because the pen pressure is severely tailor off and the lines are printed out sharply,want to connect from phone,0
i am not able to share whiteboard from iphone.,want to watch hulu,0
content playing in moto g71 is jittery and lagging.,want to insert display picture,0
"great video quality, no lag",video quality is good,1
"a connection error crashes, throws it out of the application.",connection error crashes,1
the app in my laptop keeps muting itself and it becomes so irritating in daily meetings.,network is overloaded,0
subtitles for movise that are cast on chromecast are so small that they can not be ajdusted!,app is good for movies,0
regretful experience does not connect if gets connected no voice,want to view video meetings on android,0
"if you use it through the mobile app, you do not experience files from other people in the confab",have to login every time after exiting the app,0
"my zoom app has refused to update even when there is data and network, and i have a very important zoom meeting to attend today, pls can you people help",want to use subscription,0
the app does not work much.,app keeps getting splashed out,0
there is still no audio on my ipad!,unable to hear audio on ios,1
how are no command or menus?!,hair is very thick,0
the play and pause buttons were bugged,play and pause buttons are not bugged,1
it does non have dark mode,easy to use for kids,0
let us just admit that skype is better.,want to put background image on phone,0
it is really helpful to be able to mute other people on zoom if they are accidentally unmuted or saying wrong things.,want to mute other people,1
will not let me sign up.,students are removed by host,0
very poor organization of functions.,poor organization of functions,1
it will not go to the password screen.,getting charged for cancelled subscription,0
but i can not edit my profile,want to share audio on tablet,0
my phone kept crashing!!,phone keeps crashing,1
updating is too frequent.,updates are too frequent,1
i tried repeatedly pressing the join audio button and nothing worked.,join audio button is not working,1
unable to change the background during video call in android tablet,want to change background during video call,1
i can not play because my cell is locked,want to receive files in chat,0
the playback operate are unresponsive.,video quality needs improvement,0
the game is very bad when you reach the end it bugs and the boss kills you and the graphics suck,game has bugs,1
it is ampere pretty good price.,want to do painting,0
can not pin any vdo on my top screen .,want to use exclusive skins,0
sometimes i can rename my name in zoom settings.,unable to load even after reinstalling the app,0
"bad graphics and terrible gameplay, nor can i customize my character",gameplay and graphics are bad and unable to customise characters,1
"call quality is outstanding, a big thank you to the developers",call quality is good,1
but i want to know how can i record the meeting??,want to delete charts,0
the app hangs up every time you starting time it.,audio and video quality is good,0
there should be a option of co host in android.,want co host option in mobile,1
quite help me in tax and other,want to turn on video,0
can not set photos,want to add photo,1
many limited features in the tablet version,tablet version has limited features,1
i can easily log in to my account but not on my tablet idk why i tried to login it,want to login on tablet,1
i pay for espn+ but still have to choose a tv provider to watch anything.,live streaming has issues,0
but i can not insert the display picture,want to insert display picture,1
online classes are very bad.,biometric recognition fails after enabling it in settings,0
it is just that sometimes the transmission is interrupted.,want to get chat option,0
could be a little clearer voice control,want better voice control,1
will not even let me create an account.,unable to create an account,1
"every movie or series i watch, i have to turn cancelled the subtitles.",internet is slow,0
this app is helpful collaborate with friends welcome,card is not connected to professional plan,0
can not change settings like background picture until I am already in a meeting,want to change settings like background picture,1
how can people who can not own a laptop.,audio is breaking,0
"since the last update, the app no longer works.",unable to open app since the last update,1
too many ads even if you have paid subscription.,getting ads despite paying for subscription,1
"the content is good, but the application is not optimized",ux/ui is bad,1
"i do not know how to put the filters, nor do i know how to put the photos in the entrance when you turn off your camera.",want to watch tv shows,0
not able to join any meeting smoothly after every minute my zoom disconnects and shows error,unable to join zoom rooms,1
"you can not put a profile, and it is too ridiculous that the meeting time is 40 minutes.",want to set up profile and increase meeting time limit,1
its not connecting to internet,want to connect to netwrk,1
excellent but there is only one minus that we can not delete when we post public messages is the only one that is troublesome,unable to delete public messages,1
"what ridiculousness, not being able to enter a meeting because of a pack of emojis.",want to enter a meeting with emojis,1
", i can not use video blur , what personify the process",want to connect to high speed net,0
the app crashes when you try to open it,audio missing from meeting,0
so this app is horrible because people hack into it,app security needs improvement,1
caption do not wrok well.,good to watch shows,0
i was thinking maybe you could add a profile picture option for group chats as well,want to add profile picture for groups,1
please correct when you turn on orientation lock the function does not work:please fix when you turn on orientation lock the function,want to improve photo sharing,0
"the application is just disgusting, it constantly lags the sound despite the fact that i have a samsung galaxy s21 phone!",want to turn on video in a meeting,0
i can not open background,want to open virtual background,1
i need to wait a long time to login,takes time to login,1
great application for training.,web version is bad,0
it is so good to have facial recognition when discussing personal or professional work.,facial recognition is good,1
i have not been able to log in from my cell phone for some time.,unable to login with mobile number,1
the presenting is very much delayed,presentation is slow,1
i have to signal up and pay for some other stupid tv supplier.,zoom class is disconnected and shows error,0
I am not able to download the app on my android.,getting notifications even after turning it off,0
useless aap waste of time can not watch shows on t.v with subscription,want to input date and age,0
it is very easy to login,easy to login,1
i am missing a class,missing a class,1
i can not write i want,basic version is good,0
please delete the app that supports gay people,want to delete the app,1
great for develop together without physical contact.,facing device heating issue,0
all of the episodes for the season are not displayed.,unable to watch episodes,1
I am watching a series there is no way to go back to the first episode,unable to navigate through different episodes,1
espn+ is a waste of tim.e,want to make individual participant boxes large,0
i can not chat with my friends because i can not find the contact request button!,want to chat with friends,1
but i never found the microphone button.,want to apply filters and put the photos in entrance,0
"a terrible application, every time you go through your phone you have to puzzle over how to turn on the sound, and the video quality is terrible, it is very difficult to register in general, there are a lot of disadvantages",want to register and facing audio and video quality issues,1
but have to improve the mobile and tablet app a lot.,app is bad for charging,0
please improve audio and video quality.,want to improve audio and video quality,1
can not hear videos or see videos,have to restart the app frequently due to issues,0
unable to fix mistake 1132 on ipad,easy to open and start,0
"also if the closed captions feature is activated , the font is very small and impossible to modify.",want to modify font,1
why can not i register with iphone 7,want to register with iphone,1
bullsh!t having trouble trying to sign to class but saying idk,want to register for classes,1
no more and reinstallations did not help.,connecting through bluetooth is time consuming,0
zoom is now better and more stable,app is better and stable,1
browser access does not work with chrome on,want to close account,0
also if we join from the browser sometimes the mic does not works.,microphone is not working when joining from browser,1
it would be interesting to beryllium able to create a scheduled meeting,want to add video quality control,0
why could not i do a device check??,want to do device check,1
"the best app for video calls and online meetings, much better and easier than google meet, quite good for meetings at work and online classes",good app for conducting video calls and meetings,1
how to sign in zoom hotmail id,keep the mic off when logging in,0
great way for large groups to come together!!,good for group communication,1
not able to use virtual background filter in my meetings.,want to use virtual background filter,1
"the surge has always worked very well, it is very convenient, but lately it has become hanging,",easy to use without having to memorize kuji,0
"the app is terrible, do not download this discord mess a billion times better!",sound is too loud in the lowest setting,0
its supporting but poor networking system,good app for cloud meetings,0
thank you for putting the new owl house episodes on [?],want another season for owl house,1
not playing videos after subscription. do not buy the subscription,good for business,0
netflix and amazon platforms offer even better service.,netflix and amazon are good,1
"and that too the popping up will not close up even after tapping on the ""x"" button.",app keeps getting stuck,0
but. it will not let Miane put funds and filter,good for creating a meeting room,0
"the app for school is in force, only the quality of the video conference is high-risk and+there",want to drop pass boxes,0
please enable virtual background in redmi note 9 as group A host and participant so i am giving 5 star for this app,want to update zoom cloud meetings,0
good communication but very expensive,customer service is expensive,1
what kind of stupid app does not let you record the audio when you are not the host?,want to connect to server,0
to whom it may concern is it possible to have the translation simultaneously by splitting the screen in two,want simultaneous translation by splitting screen,1
i am not getting the virtual background option in the settings,unable to switch virtual background,1
the app gets carshed over again and again whenever i am taking an online class..,want to have more options on phone,0
you can not register on zoom,video and picture quality is bad,0
is not good and video quality is not good,breakout rooms are missing,0
learning is very effective,receiving incorrect meeting passcode message,0
my about 180mb and virtual background is not available in octacore processor.,want to put background on android phone,0
after the latest update the picture mode is not working,good app for school,0
what is up with our non being compatible with a blue tooth speaker?,mobile version needs improvement,0
on iphone and ipad i cannot put a picture up as my portal-face-screen.,want to put picture up as portal-face-screen on ios devices,1
"good afternoon, zoom is a normal app, but i put four stars because you can not change the language and before that antiophthalmic factor bad connection if you are reading this then please thusly that it is not.",zoom emoji package starts downloading during meeting,0
"when you try to log in through Associate in Nursing institutional account, you enter a loop that ends half-dozen hours later without actually signing you in.",want to find saved broadcasts,0
"but in this app i can not put any background like flowers , cute pictures, so i gave 4 stars .",want to put background on the app,1
"for example, the ability to include background music/sounds to create a conference atmosphere.",ability to add background music,1
this app does not show background,unable to see virtual background,1
why can not i control the volume on my iphone with my headphones on?!,want to use background and filters,0
"please add filters, background and effects as google meet did in android",facing issues with screen,0
i can not see videos on hotstar,unable to play video in hotstar,1
having to watch a 30 to 40 second advertising for a 45 s highlight is just unacceptable.,connecting through bluetooth is time consuming,0
and you know how you can put an emoji on the corner of your screen.,want to put emoji on the corner of screen,1
i am very angry to this app because it consumes 1.50 gb data in 20 minutes when i use,unable to view ipl for free,0
the new zoom feature which enables us to shift to other pages while still keeping the video on is awesome.,new zoom feature is good,1
re: mobile.really terrible intent that found you into meetings without giving you a preview of yourself which has caused me to suddenly enter a meeting with video and audio on in the past.,android tv version is bad,0
when i desire to download anything from the phone i rear not download it.,zoom cloud is not supported properly,0
"wehnever i tarde to other apps , i autoamtically get logged out of the meeting",want to join meeting after getting removed by the host,0
"zoom does not seem to wish to keep my account working, I am rattling mad",want to create a room,0
i could not watch the movie i wanted to watch for god's sake,unable to view all movies,1
pls teach me how to change pfp along whizz along,want to change icons on iphone,0
and i had trouble with zoom cloud meetings.,app is bad for passcode,0
"this needs to be changed so many other apps have largely the same settings computer to android (with some differences because of device limitations), not being able to use stereo audio is not a device limitation, so tell me why is not stereo audio an option on android if it is not a device",want to use stereo audio on android,1
i figured out how to replace my avatar with a picture when my video is off,want to replace avatar with picture when video is off,1
the desktop version is terrible since the last update.,desktop version update is not good,1
i want to rate this one star because there exist no option to switch audio to stereo therefore all audio comes through the phone speaker instead of the tv speaker when hurl.,want episodes to be released on time,0
i can not listen to the conference i can not listen to the conference,want to listen to the conference,1
audio problems are endless but what is really bothering you in the terminal week is that when i schedule a meeting through the roving app it does not appear on the website's meeting list anymore!,video is crashing,0
I would like you to be able to set the background on android,want to put background on android phone,1
video quality is very poor,zoom is good for interactive large groups,0
subscription should be given for one month,good app for conducting calls,0
zoom works best for interactive big groups.,want to participate in morning service,0
there is no way to organize session rooms on the ipad.,want to organize session rooms on ipad,1
"after the last update, the interface completely changed and displayed in russian, in the settings there is no such option as ""language selection""",want to choose another language,1
it would be interesting to be able to create a scheduled meeting,want to schedule a meeting,1
while watching highlights during ads it starts buffering,facing buffering issues while ads are playing,1
unity am unable to log into my school account,want to access account,0
best quality from all streaming platforms,best quality from all streaming platforms,1
i just keep getting error codes.,want to remove app from google store,0
I am conk out into zoom background open exam and my camera switches off automatically.,want to access zoom cloud,0
"it would be nice to put a ""next episode"" button",want next episode button,1
not let me connect to silversneakers.,network is overloaded,0
apps are disgusting to spend bagasse charging on the phone,app is bad for charging,1
i can not put phone number,want to zoom back to phone,0
this app is not working along humanoid devices,unable to update zoom app,0
"when i return to a show i was watching, it often starts up again with an episode I have already seen.",unable to sync watched episodes,1
fix password error and invalid id,good for creativity,0
please the storage capacity is not too large,storage capacity is not too large,1
but it is saying ensure that no other apps are using camera and the update makes the app worst there is no option of enable original sound,want to enable original sound,1
"but every time your phone number could not be saved, please try again",want to save phone number,1
"excellent, very good for conversation",good app for conversation,1
i could not download it to my tablet even though i had previously used it without problems.,want to download the app on tablet,1
very decent app with less consuming data,want to view video meetings on android,0
"the application does not work, does not turn on, so you cannot create an account.",prices are high,0
"in addition, it is very affordable.",want to get card,0
"I am so sad, and light disappoint because this app on iphone do not have feature allows user to change background in meeting.",want to change background on iphone,1
just needs a little morsel more security,app scores are getting lower,0
there is no ukrainian flag in emoji,want ukraine flag in emoticons,1
no settings and reinstallations did not help.,resetting did not work,1
"good quality of conferences, and a pleasant experience from the application",good quality of conferences,1
they suffice not take my birthdays ( I am full-grown) and does not let me sign up,app is slow and buffers a lot,0
more options than netflix,better than netflix,1
i can not commit a picture on the zoom profile,desktop version is good,0
but there is amp problem with the screen.,want to add filters and backgrounds,0
i already updated it and it did not fix the problem.,updating the app did not solve the issue,1
it helps only improve the quality lgii.,improve quality of lgii,1
sync is another feature that practise not run.,video sound is low,0
this app is using too much data,data usage is high,1
when I am in an important meeting i recommend adding a notification that reminds you when the new update will come,want notifications for updates,1
continuing watching but not being capable to penetrate on a different episode is ridiculous.,app keeps auto closing,0
how do i increase the volume ?,want to adjust volume,1
notifications do not work properly.,notifications are not working,1
and i have to restart my phone every time.,have to restart phone due to issues in app,1
can not pin any vdo on my top screen .,want to pin vdo on top screen,1
i can not pornerle profile picture,want to view profile picture,1
it gives an wrongdoing 403 and does non allow you to enter.,want to start a conference,0
- backgrounds do not have great interface --,virtual background tab is missing,0
can not share audio via bluetooth,want to share audio via bluetooth,1
"i can not associate the audio to the smart tv when iodin sync my phone with it, i wish they could do something about it",want lower subscription charges,0
we can not find what the meeting password is.,want to find meeting password,1
excellent medium for conferences and classes.,good for conferencing,1
no to animal abuse stop putting tasks,data consumption is high and unable to adjust video quality,0
i have major problem with buffering of this app,want to connect to wifi,0
we should be to on-off switch the small video box along/off.,amount getting deducted without any notification,0
you can not turn on the phone,want to turn on the phone,1
"please add some 144, 240 video quality options in the app",want 240p video quality,1
you can not set the sound normally,want to adjust sound,1
would like to be able to block incoming phone calls while in a zoom meeting or at least make them not take over the audio because there is such a delay switching back to the meeting audio even if you ignore the call!,want to block calls while in zoom meeting,1
"everything was fine before but now after ane re-installed, it is not supported on my Io",want indian flag in emoji section,0
but can not watch it on my lg tv.,blurred background not a option,0
"the app update takes forever, meeting ongoing and unable to join",app update takes forever,1
it does not connect me with people to play minecraft does not work!,want to contact people,1
can not use video filter and studio effects,app requests to login frequently,0
easy to use reliable service,easy to use service,1
"the ability to lock a breakout room from the inside, similar to the way we can lock a meeting, preventing others from joining.",want to lock a breakout room from inside,1
i can not install app in my phone,unable to play highlights,0
i am unable to log into my school account,want to login to school account,1
i have missed two meeitngs and it has onemore problem that there is no option to increase the volume of the audio.,want to get touch up appearance option for android,0
it is been 2 weeks since i derriere non reinstall zoom.,good for school and work,0
a great room of communication and learning.,app requires too much processing,0
"hey guy rope, no choice menu for practical background iphone 7",good for virtual background,0
can not delete messages pls do this issue otherwise good,unable to delete messages,1
"before releasing an update, it is to be tested.",need to test before update,1
still have not got a refund.,want to get a refund,1
"everything lags, it is impossible to enter the system",want to enter the system,1
i love this app because you can connect meetings and take care of other things,user interface needs improvement,0
it will stay stuck on the hulu screen and then it goes blank.,facing blank screen issue,1
"the screen is acquit and the sound is heard very well, and i am using it rattling well.",want to mute background noise,0
"when i went to a distance learning lesson, conferences always crashed and did not work",conference did not work,1
serious for meetings and bible study,good for private study,0
i can airplay information technology but lately it will not connect.,video and picture quality is bad,0
i tried re-installing the app and did not fix the issue.,reinstalling app does not solve the issues,1
there is a problem where i am not give up to use on mobile.,app is good for meetings,0
add arabic to the application,add arabic to the application,1
there is not even a way to contact in any settings on the app.,want to contact in settings,1
worst ping issue in this app,app hangs sometimes,0
the application dash frequently.,want indonesian language support,0
app is blinking in android 12 version,volume is too low,0
i can not change the background in my model class,want to change background in model class,1
i cannot boot into the disney plus app.,unable to connect to disney+,1
worst app .. can not join a meeting .,want to enter meetings,1
"everything ok, out of ten, this app is necessary, for online tasks.",good for online tasks,1
"happy, tablet not able to have all settings.",want to have all settings,1
hulu cause not wreak on my roku devices!,app has good image quality,0
i could not open my nephew's baby shower.,want to open the baby shower,1
I am not allowed to edit the video of the fraction,want to edit video,1
"video quality is poor, and continuously off-and-on with soften.",ads are louder than the content,0
unable to change the background during video call in android tablet,want to attend lectures,0
information technology personify great how i create a page for a meeting,battery and data consumption is high,0
it lags a lot especially during live match.,video lags a lot during live matches,1
it has significantly improved the quality of transmission and communication,improve the quality of communication,1
it is a conference room without a password.,conference room without password,1
required upgrade to version 5.10 is not working and does not work as of yesterday,want to upgrade to version 5.10,1
"you either have suond, microphone, or camera will reject to turn along.",want to use zoom on ipad,0
"overall, controls get more complex and difficult",good for watching live shows,0
i love hulu but the app will not episodes of tv shows,sound of the rules cannot be heard,0
it would also be better to add brightness adjustment.,want screen brightness adjust option,1
i cannot copy paste chat.,receiving incorrect passcode message,0
i do not recommend the application can not download takes up a lot of space and a lot of data,data and memory consumption is high,1
very good app and easy to use kids cloud meating,easy to use for kids,1
s22 ultra doe not piece of work.,want to share video while on call,0
vidoe quality is very poor,unable to adjust video quality,0
the application does not work on wandering phones or tv.,zoom has a time limit,0
where is the rest of the irregular season of the owl house?,want to hear audio through speaker,0
"very bad the charcaters are veyr idiotic, their story mode is the worst",viber is better,0
information technology crashes on the splash concealment.,want dutch or english language support,0
disney is no longer family friendly.,disney is not kids friendly,1
create a dodol zoom,create dodol zoom,1
"can not use zoom in android tv, please devlope it for android tv",app is good for meetings,0
bad app this only gives 40 minutes of meeting,password is not working,0
i can not register and unmute the conference,want to control status bar,0
"a terrible application, every time you go through your phone you have to puzzle over how to turn on the sound, and the video quality is terrible, it is very difficult to register in general, there are a lot of disadvantages",better than netflix,0
bump off this app from google store antiophthalmic factor early as possible.,sound is constantly glitching,0
very good quality pictures and graphics,good quality of pictures,1
i do not want to see stupid app notifications and there is no way to disable them.,want to disable notifications,1
not all the movies are available,missing some movies,1
can not suck can not create regestration they say at the moment registration is not available,want to create regestration,1
it progress at the service of our professional and personal projects,want to install app on tv,0
leave not connect on my new iphone 12,want to enter the system,0
but i consider it a loss that there is no longer safe driving mode,want to know when the next season is coming,0
i can not meet my friends,want to meet friends,1
frustrating unable to connect 2nd group meeting missed!!,want to connect groups,1
for multiple months now viewing progress is not saved when watching tv shows or movies via chromecast.,unable to sync watched episodes on chromecast,1
this is app do not work in lcd tv with mobile cannection.,want to use app on lcd tv,1
"my volume button do not able to soundless my phone, what a bad app",unable to view some content despite taking subscription,0
app worked fine until last update now i can not open the app on my pixel 5 at all.,unable to open app on pixel device,1
this app does not have service support,app does not have service,1
the updated app is not instalment on my phone after the update.,app is slow and facing issues with audio,0
"the app comprise decent, but it lacks a lot of content",want to login on tv,0
google duo is a much easier app.,google duo is easier,1
thus this app is horrible because people hack into it,loading time is slow on phone,0
"the app is very bad, it is not convenient to use",app is not easy to use,1
i have not found a setting where these can be turned off and therefore uninstalled the app,uninstalled the app,1
how to turn on the sound?,app keeps crashing on the tv,0
video quality is very poor,video and picture quality is bad,1
i absolutely love this app but there be so many tv shows missing!,good for watching marvel movies,0
"in general, the application is normal only it is very difficult to enter the system and sometimes lags",app is difficult to enter,1
why can not i edit meeting settings from mobile app ?,want to edit meeting settings,1
atomic number 53 am using 150mbps but the streaming quality is identical bad on android tv.,want to use 3g network,0
"after the last update, the interface completely changed and displayed in russian, in the settings there is nobelium such option as ""language selection""",improve zoom for users,0
please enable photo effects options for android mobiles too,want photo effects for android mobiles,1
so basically when i try to add contacts it does not work,good for long distance communication,0
downloaded the app .and it will not let me sign up.,unable to create account with the app,1
screen goes black except for a little man icon in center --,want to restart device,0
"hulu, you have Associate in Nursing app problem!!",good for distance learning,0
as of this morning i cannot screen cast for smoe stupid fix this,app is bad on chromebook,0
zoom will not let me create sections and also will not let me start or subscribe,want to create sections,1
same ad is shown over and over again while watching live matches.,getting frequent ads during live matches,1
ipad 5 coif non have the background.,good for family reunions,0
i routinely have to force close the app to make it work properly.,have to restart the app frequently due to issues,1
will not let me connect to silversneakers.,want to connect to silversneakers,1
your english translation (live transcripts) when enabled are not accurate at all.,english translation is not correct,1
i am not able to switch on my video,want to turn on self video,1
crashes everytime whenever i opened this app.,app crashes after opening content,1
good add more features,app crashes while watching ipl matches,0
i do not understand what the point of this app is when you can not even click the sign in push smh,app is very bad for live streaming,0
"through the phone, the application comprise silent (uninstalling the application and downloading and a fresh installation did not fix anything).",app crashes after opening content,0
could have used a better ui.,want to enter card information,0
"linking does not always work for some reason, and you can not easily copy and send the meeting invite information.",facing frequent issues with hulu,0
it always needs an update the sound system is terrible,want to download zoom app,0
i can not put a picture on the zoom profile,want to update profile picture,1
my dvr shows do not load.,unable to record video,1
weblink does not work on ipad browser(google),weblink does not work on ipad browser,1
sometimes my connection drops and restarts the meeting,good for connecting with team members,0
"every time the app represent update, the account is deleted!",want to use vertual effects,0
it is perfect but the in-app auto rotation sucks!,unable to use picture in picture mode on android,0
please provide a feature to be able to install a background on iphone 6,want to install background on iphone,1
can you please add and video filter option to ipad air,video conference is bad,0
"i can not connect the audio to the smart tv when i sync my phone with it, i wish they could do something about it",want to connect audio to smart tv,1
when i try to login into hulu the app kicks me out!,unable to login into hulu,1
best cricket and entertainment app,good for cricket and serials,1
all i get is a deep blue screen.,want to add playback sessions,0
"mega nice app, unfortunately there is a misfunction from time to time because the mesh is completely overloaded.",unable to sign up for hulu,0
sometimes it says can not connect to the server ..,want to connect to server,1
plus i keep getting logged out of my account,getting logged out of account,1
always emoji package is downloading and emoji package is consuming a lot of data.,facing error 39 issue while using the app,0
"every time you go to the meeting or every time you learn online, you need to enter your password again.",user has to enter password multiple times,1
so basically when i try to add contacts it does not work,want to add contacts,1
"the bell is not necessary, it is okay to leave a banner on the screen but not a bell every time someone joins.",want to remove the bell feature,1
zoom cloud meetings is easy for anyone to do,zoom cloud meetings is user friendly,1
the connection is permanently cut off.,want the app to be faster,0
"poor performance, and always updating even in online class meetings,",poor performance in online class meetings,1
"trying to create a conference, the function is not available you just have to",code is wrong,0
different mobile so something difference,mobile version is different,1
speakers cannot be connected via bluetooth,want to hear audio with bluetooth speaker,1
neesd more options and drop the go boxes,unable to play video on tv,0
but now it dosnt login to a meeting even after 5mins beacause of that,want to login to meeting,1
recent changes no more longer allow you to utilize two device simultaneously.,want mir card payment option,0
but do not connect and says error problem,want to connect,1
bset app for meeting and study use,good for school and work,0
unable to share link,facing issues with breakout rooms after latest update,0
"if you use zoom on mobile (usually used with an ipad), the zoom participant screen will continue to blink in recent years.",screen flickers on ipad,1
will not let me change password,want to get preview before joining meeting,0
please help me issue a refund.,want to attend lectures,0
i can non change the desktop in my model class,app crashes every 10 minutes,0
it seems that this app is not working for ios systems on ipads.,unable to use on ios,1
please enable phtoograph effects options for android mobiles too,app is difficult to use,0
no to animal abuse stop putting tasks,want to stop animal abuse,1
very useful for remote classes,want to connect to wifi,0
"""wrong conference code"", although everything goes well for everyone",want to take notes while splitting screen,0
very nice and clean graphic app,graphics quality is good,1
"the audio and video are very good for meetings, thank you",good for managing meetings,1
but need a little bit improv like adding moveable background and other.,want to add moveable background,1
a wonderful application that helps you out when communicating with friends from different countries.,desktop version update is not good,0
brilliant group meating app.,good for group meeting,1
"1 am so sad, and light disappoint because this app on iphone do not have feature allows substance abuser to change background in meeting.",want to connect to school,0
required upgrade to version 5.X is not on the job and does work as of yesterday,good for visual and hearing quality,0
zoom is the best app for chating with friends and zoom is very good during corana it rlly helps to connect and chat with the people who you can not vist or they can not vist,zoom is good for chating with friends,1
a poor application is not able to update the status after purchasing on a laptop.,want to update to zoom pro plan,0
this app will help me to study in lockdown,good app for students,1
"the app is super slow and crappy, much iodine can not even open it.",customer service is bad,0
app no farsighted supports bluetooth devices.,want to share screen on ipad,0
android tv also does not work properly.,unable to access account through the app,0
unfortunately the new update does not improve the screen sharing or the big gap between computer zoom and ipad.,facing issues with screen share after latest update,1
"if you use it through the mobile app, you do not receive files from other people in the chat",want to receive files in chat,1
ane find it difficult to update my zoom cloud meeting,want to enter zoom room,0
please remove the left and right flipping function.,want to remove left and right flipping function,1
i can not join my meetings with my vodafoneidea sim mobile data why??,want to join meeting while using mobile data,1
I am not able to download the app on my android.,want to download the on android,1
"but there is no ""zoom"" the video in zoom app.",want to zoom in or zoom out,1
so iodine can go to outside meetings with my family ladys.,want to register and cannot join conference,0
information technology is impossible to enter a conference,want to mirror screen onto tv,0
cannot share ppt on my phone.,want to share ppt on phone,1
get the shows i want for a reasonable price.,want to install update,0
"i lost access to my organizer account, the pro plan.",lost access to organizer account,1
can not reverse the camera,want to reverse camera,1
everyone says there is no support for turkish language translate from settings to turkish so simple or how did you not understand?,want to translate turkish language,1
"everything hangs up, i can not go to the conference, but this conference itself is crashing.",zoom does not cater for android users,0
"since the upgrade, i can not get into breakout room",good quality of voice,0
i enjoy the variety that hulu has to,user interface is complex,0
